time,x_sp,xpos_
0.0543551,0.998523,0
0.0553276,0.99847,0
0.0563615,0.998412,0
0.0573623,0.998355,0
0.0583261,0.9983,0
0.0593756,0.998238,0
0.0603432,0.99818,0
0.0613574,0.998118,0
0.0623388,0.998058,0
0.0633243,0.997996,0
0.0645313,0.997919,0
0.0653439,0.997866,0
0.06633,0.997801,0
0.067371,0.997731,0
0.0683438,0.997665,0
0.0693455,0.997597,0
0.0703435,0.997527,0
0.0713469,0.997456,0
0.0723285,0.997385,0
0.0733328,0.997312,0
0.0745116,0.997225,0
0.0755364,0.997148,0
0.0766126,0.997067,0
0.0773994,0.997006,0
0.0783827,0.99693,0
0.0793803,0.996851,0
0.0804835,0.996763,0
0.081562,0.996676,0
0.0824002,0.996607,0
0.0833283,0.99653,0
0.0844228,0.996439,0
0.0853618,0.996359,0
0.0863337,0.996276,0
0.0873337,0.996189,0
0.0884782,0.996088,0
0.0894257,0.996004,0
0.0904637,0.995911,0
0.0914281,0.995823,0
0.0924318,0.995731,0
0.0933682,0.995644,0
0.0944584,0.995542,0
0.0953502,0.995458,0
0.0965442,0.995343,0
0.0973518,0.995265,0
0.0983583,0.995167,0
0.0994894,0.995055,0
0.100339,0.99497,0
0.10134,0.99487,0
0.102343,0.994768,0
0.103328,0.994666,0
0.104403,0.994555,0
0.105385,0.994452,0
0.106333,0.994352,0
0.107334,0.994245,0
0.108488,0.994121,0
0.109489,0.994012,0
0.110365,0.993916,0
0.111349,0.993807,0
0.112411,0.993689,0
0.113332,0.993585,-1.44067
0.114362,0.993468,-1.44067
0.115334,0.993356,-1.44067
0.116385,0.993235,-1.44067
0.117308,0.993127,-1.44084
0.11846,0.992992,-1.44084
0.119332,0.992888,-1.44084
0.120356,0.992766,-1.44084
0.121355,0.992646,-1.44084
0.122333,0.992527,-1.44084
0.123354,0.992402,-1.44084
0.12439,0.992274,-1.44084
0.125442,0.992142,-1.44084
0.126375,0.992025,-1.44084
0.1274,0.991896,-1.44084
0.128442,0.991763,-1.44084
0.129424,0.991636,-1.44084
0.130378,0.991513,-1.44084
0.131355,0.991385,-1.44084
0.132354,0.991254,-1.44084
0.133333,0.991124,-1.44096
0.13433,0.990991,-1.44096
0.135357,0.990853,-1.44096
0.136352,0.990718,-1.44096
0.137396,0.990576,-1.44096
0.13838,0.990441,-1.44096
0.139374,0.990303,-1.44096
0.140367,0.990165,-1.44096
0.141424,0.990016,-1.44112
0.142447,0.989872,-1.44112
0.143359,0.989742,-1.44112
0.144398,0.989593,-1.44112
0.145383,0.989451,-1.44112
0.146379,0.989306,-1.44112
0.147527,0.989138,-1.44112
0.148506,0.988993,-1.44112
0.149336,0.98887,-1.44112
0.150332,0.988721,-1.44112
0.151329,0.988572,-1.44112
0.152363,0.988415,-1.44112
0.153434,0.988252,-1.44123
0.154354,0.988111,-1.44123
0.155339,0.987959,-1.44123
0.156335,0.987805,-1.44123
0.157378,0.987642,-1.44123
0.158373,0.987485,-1.44123
0.159353,0.98733,-1.44123
0.160341,0.987173,-1.44123
0.161331,0.987014,-1.44137
0.162356,0.986849,-1.44137
0.163337,0.98669,-1.44137
0.164361,0.986523,-1.44137
0.165342,0.986362,-1.44137
0.166357,0.986195,-1.44137
0.16734,0.986031,-1.44137
0.168438,0.985848,-1.44137
0.169402,0.985686,-1.44137
0.170355,0.985525,-1.44137
0.171331,0.985359,-1.44137
0.172347,0.985185,-1.44137
0.173333,0.985015,-1.4415
0.17433,0.984843,-1.4415
0.175327,0.98467,-1.4415
0.176332,0.984494,-1.4415
0.177356,0.984314,-1.4415
0.178329,0.984141,-1.4415
0.179346,0.983961,-1.4415
0.180415,0.983769,-1.4415
0.181331,0.983604,-1.44166
0.182637,0.983368,-1.44166
0.183336,0.983241,-1.44166
0.184413,0.983044,-1.44166
0.185466,0.98285,-1.44166
0.186508,0.982658,-1.44166
0.187469,0.982479,-1.44166
0.188333,0.982318,-1.44166
0.189334,0.98213,-1.44166
0.19033,0.981942,-1.44166
0.191329,0.981752,-1.44166
0.192346,0.981558,-1.44166
0.193337,0.981369,-1.44175
0.194334,0.981176,-1.44175
0.195334,0.980983,-1.44175
0.196361,0.980783,-1.44175
0.197338,0.980592,-1.44175
0.198371,0.980389,-1.44175
0.199379,0.98019,-1.44175
0.200406,0.979986,-1.44175
0.201331,0.979801,-1.44186
0.202345,0.979598,-1.44186
0.203358,0.979394,-1.44186
0.204332,0.979197,-1.44186
0.205331,0.978993,-1.44186
0.206326,0.97879,-1.44186
0.207332,0.978584,-1.44186
